method_name,method,pred_method,gt_method,bucket_reference_gt_method,bucket_group,bucket_name,gt_count,matched_count,recall,mean_matched_iou,available
cc,cc,cc,cc,cc,gt_area_bucket,small,320,19,0.059375,0.64083,1
cc,cc,cc,cc,cc,gt_area_bucket,medium,5233,2198,0.420027,0.721306,1
cc,cc,cc,cc,cc,gt_area_bucket,large,30269,21849,0.721828,0.788645,1
cc,cc,cc,cc,cc,image_density_bucket,sparse,315,224,0.711111,0.80136,1
cc,cc,cc,cc,cc,image_density_bucket,medium,4670,3399,0.727837,0.790794,1
cc,cc,cc,cc,cc,image_density_bucket,dense,30837,20443,0.662937,0.780771,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,large__dense,26824,18977,0.707463,0.785894,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,large__medium,3250,2699,0.830462,0.806162,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,large__sparse,195,173,0.887179,0.817188,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,medium__dense,3796,1452,0.382508,0.715148,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,medium__medium,1331,697,0.523666,0.731829,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,medium__sparse,106,49,0.462264,0.754124,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,small__dense,217,14,0.064516,0.643037,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,small__medium,89,3,0.033708,0.664769,1
cc,cc,cc,cc,cc,gt_area_by_density_bucket,small__sparse,14,2,0.142857,0.589471,1
watershed,watershed,watershed,cc,cc,gt_area_bucket,small,320,20,0.0625,0.640038,1
watershed,watershed,watershed,cc,cc,gt_area_bucket,medium,5233,2257,0.431301,0.720423,1
watershed,watershed,watershed,cc,cc,gt_area_bucket,large,30269,22281,0.7361,0.789424,1
watershed,watershed,watershed,cc,cc,image_density_bucket,sparse,315,224,0.711111,0.80136,1
watershed,watershed,watershed,cc,cc,image_density_bucket,medium,4670,3415,0.731263,0.791309,1
watershed,watershed,watershed,cc,cc,image_density_bucket,dense,30837,20919,0.678373,0.781401,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,large__dense,26824,19403,0.723345,0.78673,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,large__medium,3250,2705,0.832308,0.806971,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,large__sparse,195,173,0.887179,0.817188,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,medium__dense,3796,1502,0.39568,0.713847,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,medium__medium,1331,706,0.530428,0.732074,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,medium__sparse,106,49,0.462264,0.754124,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,small__dense,217,14,0.064516,0.643037,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,small__medium,89,4,0.044944,0.654827,1
watershed,watershed,watershed,cc,cc,gt_area_by_density_bucket,small__sparse,14,2,0.142857,0.589471,1
