epoch,loss_mode,tau_phase,gap_01,gap_12,gap_23,s0,s1,s2,s3,tau_reference,train_loss,train_macro_f1,val_loss,val_macro_f1
1,adaptive_ucl_cda_v3,warmup_fixed_tau,1.1624802350997925,0.8562987446784973,0.8570684194564819,0.0,0.40422168374061584,0.7019768953323364,0.9999996423721313,0.2199707180261612,0.5639135506154629,0.6283383158234975,0.4578635386576117,0.6717811917342618
2,adaptive_ucl_cda_v3,warmup_fixed_tau,1.46527099609375,0.6319059729576111,0.6471880674362183,0.0,0.533919632434845,0.7641753554344177,0.9999996423721313,0.2199707180261612,0.5172965090478012,0.6660588024261052,0.4362185419978316,0.6926569687895073
3,adaptive_ucl_cda_v3,warmup_fixed_tau,1.81436288356781,0.442045122385025,0.48143377900123596,0.0,0.662697970867157,0.8241553902626038,0.9999996423721313,0.2199707180261612,0.49723345886370135,0.6824235152957574,0.4188965061149225,0.7181311528161324
4,adaptive_ucl_cda_v3,warmup_fixed_tau,1.9955202341079712,0.38181379437446594,0.4163091480731964,0.0,0.7143072485923767,0.8509795665740967,0.9999996423721313,0.2199707180261612,0.4730970232554747,0.7004815928658868,0.42887998890079826,0.6743638413352112
5,adaptive_ucl_cda_v3,warmup_fixed_tau,2.053002119064331,0.3745773136615753,0.3961270749568939,0.0,0.7270591259002686,0.8597135543823242,0.9999996423721313,0.2199707180261612,0.45839197980365587,0.7133318385493413,0.411669977736783,0.7072799922896729
6,adaptive_ucl_cda_v3,adaptive_tau,1.4913793802261353,0.55226731300354,0.6540401577949524,0.0,0.5528361797332764,0.7575549483299255,0.9999996423721313,0.1199951246380806,0.3959028225018835,0.7204667936861129,0.35475246077239125,0.7150029352646161
7,adaptive_ucl_cda_v3,adaptive_tau,1.3535282611846924,0.5611369609832764,0.7575105428695679,0.0,0.506526529788971,0.7165189981460571,0.9999996423721313,0.1199951246380806,0.3791290597367307,0.7287435731384939,0.3557630581646023,0.7138569820428263
8,adaptive_ucl_cda_v3,adaptive_tau,1.3555641174316406,0.5544144511222839,0.772285521030426,0.0,0.505380392074585,0.7120767831802368,0.9999996423721313,0.1199951246380806,0.3699026887207043,0.7357176371069588,0.3524418139225261,0.7136776197046988
9,adaptive_ucl_cda_v3,adaptive_tau,1.360634446144104,0.5567294359207153,0.7762560844421387,0.0,0.5051321387290955,0.7118166089057922,0.9999996423721313,0.1199951246380806,0.3612812837219568,0.7410127860459037,0.35812010902146996,0.7286066720871053
10,adaptive_ucl_cda_v3,adaptive_tau,1.36503267288208,0.5682412981987,0.7721456289291382,0.0,0.5045546889305115,0.7145927548408508,0.9999996423721313,0.1199951246380806,0.3528257262490186,0.7469816352898038,0.3499071861301292,0.7124739222906007
11,adaptive_ucl_cda_v3,adaptive_tau,1.3665608167648315,0.5768991112709045,0.7716819643974304,0.0,0.5033108592033386,0.715785562992096,0.9999996423721313,0.1199951246380806,0.347044850347976,0.7516749354687403,0.35114780115577615,0.7226807565921127
12,adaptive_ucl_cda_v3,adaptive_tau,1.3648903369903564,0.5874672532081604,0.7722246646881104,0.0,0.5009537935256958,0.7165710926055908,0.9999996423721313,0.1199951246380806,0.3390468109775146,0.7567510495117044,0.34200103631314016,0.7432098031604177
13,adaptive_ucl_cda_v3,adaptive_tau,1.370898723602295,0.5934451818466187,0.769994854927063,0.0,0.5013636946678162,0.7183979153633118,0.9999996423721313,0.1199951246380806,0.3315816010820108,0.7628603009293574,0.3515121613047194,0.7276225985052786
14,adaptive_ucl_cda_v3,adaptive_tau,1.3638628721237183,0.6040584444999695,0.7737178206443787,0.0,0.4974623918533325,0.7177897691726685,0.9999996423721313,0.1199951246380806,0.32445761560330655,0.7673340158280924,0.349770245662196,0.7153480073343932
15,adaptive_ucl_cda_v3,adaptive_tau,1.3719478845596313,0.6038205623626709,0.7744323015213013,0.0,0.49885356426239014,0.7184085845947266,0.9999996423721313,0.1199951246380806,0.3182665061568123,0.7722171796989783,0.3550164032836091,0.7172226186469651
16,adaptive_ucl_cda_v3,adaptive_tau,1.3671170473098755,0.6137017011642456,0.7761614322662354,0.0,0.4958746135234833,0.7184737324714661,0.9999996423721313,0.1199951246380806,0.31072270095743376,0.7770741845171568,0.3581187287994082,0.7255238717975552
17,adaptive_ucl_cda_v3,adaptive_tau,1.3653075695037842,0.6231949329376221,0.7754325270652771,0.0,0.49397221207618713,0.7194459438323975,0.9999996423721313,0.1199951246380806,0.30328254393151166,0.7820534771588916,0.3507634131860822,0.7424603813919031
18,adaptive_ucl_cda_v3,adaptive_tau,1.3673272132873535,0.6287873983383179,0.774307370185852,0.0,0.4935445785522461,0.7205089926719666,0.9999996423721313,0.1199951246380806,0.2960102460638211,0.7884870551335275,0.35830201002880724,0.711364430240794
19,adaptive_ucl_cda_v3,adaptive_tau,1.3679157495498657,0.6342135667800903,0.77435302734375,0.0,0.49267929792404175,0.7211026549339294,0.9999996423721313,0.1199951246380806,0.28882989531018266,0.7939534729309468,0.3656078480395766,0.7241409981497557
